Shipment,Principal Code ,Principal Name,Product Category,Sales Order No,Delivery Order No,Sales Invoice No,PO Number,Required Delivery Date (RDD),Customer Code,Customer Name,Customer Address,SKU Code,SKU Description,SLED,Batch code,Quantity,UOM,Volume (CBM),Weight (KG)
,PCC-000614,Unilever Philippines,NON-FOOD,2816658389,3810207826,53483700,1809108237,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67379986,LADY'S CHOICE SS CHKN DOY 12X470ML,,,2,case,0.024,12.16
,PCC-000614,Unilever Philippines,NON-FOOD,2816717048,3810207809,53483685,1809168382,8 07 2018,50207235,AFPCES PSG,Manila City,67382188,KNORR MEALMAKER GINATAANG GULAY 96X40G,,,1,case,0.015,3.94
,PCC-000614,Unilever Philippines,NON-FOOD,2816665098,3810207828,53483702,1809141718,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67382188,KNORR MEALMAKER GINATAANG GULAY 96X40G,,,1,case,0.015,3.94
,PCC-000614,Unilever Philippines,NON-FOOD,2816717048,3810207809,53483685,1809168382,8 07 2018,50207235,AFPCES PSG,Manila City,67382189,KNORR MEALMAKER KALDERETA 96X41G,,,1,case,0.015,4.13
,PCC-000614,Unilever Philippines,NON-FOOD,2816717048,3810207809,53483685,1809168382,8 07 2018,50207235,AFPCES PSG,Manila City,67382190,KNORR MEALMAKER GINATAANG GULAY 96X29G,,,1,case,0.011,3.17
,PCC-000614,Unilever Philippines,NON-FOOD,2816665098,3810207828,53483702,1809141718,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67382190,KNORR MEALMAKER GINATAANG GULAY 96X29G,,,1,case,0.011,3.17
,PCC-000614,Unilever Philippines,NON-FOOD,2816718459,3810207825,53483699,1809166202,8 07 2018,50200696,ULTRA MEGA MUNTINLUPA WHSLE,Muntinlupa City,67382190,KNORR MEALMAKER GINATAANG GULAY 96X29G,,,3,case,0.034,9.51
,PCC-000614,Unilever Philippines,NON-FOOD,2816665360,3810207831,53483705,1809142554,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67389370,LADY'S CHOICE BACN SPREAD 72X27ML,,,1,case,0.005,2.244
,PCC-000614,Unilever Philippines,NON-FOOD,2816665360,3810207831,53483705,1809142554,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67389371,LADY'S CHOICE REAL MAYONNAISE 72X27ML,,,2,case,0.01,4.294
,PCC-000614,Unilever Philippines,NON-FOOD,2816717053,3810207812,53483688,1809168387,8 07 2018,50207235,AFPCES PSG,Manila City,67404150,REXONA MEN RO ICE COOL IN 24X50ML,,,2,case,0.015,4.614
,PCC-000614,Unilever Philippines,NON-FOOD,2816719807,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67438364,SUNSILK SH SMOOTH & MNGBLE 288X13ML,,,5,case,0.056,20.85
,PCC-000614,Unilever Philippines,NON-FOOD,2816666684,3810207839,53483712,1809144038,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451508,SURF PWDR PURPLE BLOOMS 6X2000G,,,1,case,0.02,12.185
,PCC-000614,Unilever Philippines,NON-FOOD,2816717077,3810207819,53483694,1809168397,8 07 2018,50207235,AFPCES PSG,Manila City,67451508,SURF PWDR PURPLE BLOOMS 6X2000G,,,5,case,0.1,60.925
,PCC-000614,Unilever Philippines,NON-FOOD,2816665720,3810207837,53483710,1809143695,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451508,SURF PWDR PURPLE BLOOMS 6X2000G,,,8,case,0.159,97.48
,PCC-000614,Unilever Philippines,NON-FOOD,2816717077,3810207819,53483694,1809168397,8 07 2018,50207235,AFPCES PSG,Manila City,67451510,SURF POWDR PURPLE BLOOMS 12X1000G,,,2,case,0.038,24.312
,PCC-000614,Unilever Philippines,NON-FOOD,2816665720,3810207837,53483710,1809143695,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451511,SURF HS STD PWD KALAMANSI 6X2000G,,,2,case,0.04,24.37
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67451511,SURF HS STD PWD KALAMANSI 6X2000G,,,3,case,0.06,36.555
,PCC-000614,Unilever Philippines,NON-FOOD,2816717077,3810207819,53483694,1809168397,8 07 2018,50207235,AFPCES PSG,Manila City,67451512,SURF HS STD PWDR CHERRY BLOSSOM12X1000G,,,2,case,0.038,24.312
,PCC-000614,Unilever Philippines,NON-FOOD,2816665720,3810207837,53483710,1809143695,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451512,SURF HS STD PWDR CHERRY BLOSSOM12X1000G,,,4,case,0.076,48.624
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67451514,SURF HS STD PWR SUNFRESH 12X1000G,,,2,case,0.038,24.312
,PCC-000614,Unilever Philippines,NON-FOOD,2816665720,3810207837,53483710,1809143695,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451514,SURF HS STD PWR SUNFRESH 12X1000G,,,2,case,0.038,24.312
,PCC-000614,Unilever Philippines,NON-FOOD,2816666684,3810207839,53483712,1809144038,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451515,SURF HS STD PWR CHERRY BLOSSOM 6X2000G,,,2,case,0.04,24.37
,PCC-000614,Unilever Philippines,NON-FOOD,2816717077,3810207819,53483694,1809168397,8 07 2018,50207235,AFPCES PSG,Manila City,67451515,SURF HS STD PWR CHERRY BLOSSOM 6X2000G,,,5,case,0.1,60.925
,PCC-000614,Unilever Philippines,NON-FOOD,2816665720,3810207837,53483710,1809143695,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451515,SURF HS STD PWR CHERRY BLOSSOM 6X2000G,,,15,case,0.299,182.775
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67451520,SURF HS STD PWR KALAMANSI 12X1000G,,,2,case,0.038,24.312
,PCC-000614,Unilever Philippines,NON-FOOD,2816665720,3810207837,53483710,1809143695,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67451522,SURF HS STD PWR SUNFRESH 6X2000G,,,4,case,0.08,48.74
,PCC-000614,Unilever Philippines,NON-FOOD,2816717084,3810207821,53483695,1809168399,8 07 2018,50207235,AFPCES PSG,Manila City,67451522,SURF HS STD PWR SUNFRESH 6X2000G,,,5,case,0.1,60.925
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67452707,TRESEMME DET&NOUR SH+HC TRVL KIT 24X70ML,,,1,case,0.025,11.037
,PCC-000614,Unilever Philippines,NON-FOOD,2816717057,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67469129,SUNSILK SH SMOOTH&MNGBLE 12X350ML,,,2,case,0.018,10.812
,PCC-000614,Unilever Philippines,NON-FOOD,2816665516,3810207834,53483707,1809143179,8 07 2018,50207367,ROBINSONS SUPERMKT MARQUINTON,Marikina City,67499338,CREAM SILK HC TRI-KRTN R&S MP 48X6X10ML,,,1,case,0.015,3.427
,PCC-000614,Unilever Philippines,NON-FOOD,2816717057,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67511952,CLOSEUP MENTHOL FRSH PROMO2 36X2X140ML,,,5,case,0.172,70.25
,PCC-000614,Unilever Philippines,NON-FOOD,2816717057,3810207815,53483691,1809168394,8 07 2018,50207235,AFPCES PSG,Manila City,67511953,CLOSEUP MENTHOL FRSH PROMO2 48X2X90ML,,,2,case,0.068,25.2
,PCC-000614,Unilever Philippines,NON-FOOD,2816715648,3810207800,53483676,1809123509,8 07 2018,15303650,SUPER SM WAREHOUSE ARANETA,QUEZON,67511974,CLOSEUP REDHOT BRP2 36X2X145ML,,,4,case,0.137,59.6
,PCC-000614,Unilever Philippines,NON-FOOD,2816717066,3810207816,53483692,1809168395,8 07 2018,50207235,AFPCES PSG,Manila City,67511976,CLOSEUP REDHOT PROMO2 36X2X140ML,,,5,case,0.171,74.5
